NA27	LEB
Ζεβεδαίου	Zebedee
Ζεβεδαίου	of
Ἰωάννην	John
Ζεβεδαίου	Zebedee
Γαλιλαίᾳ	Galilee
Γαλιλαίᾳ	of
Συρίαν	Syria
Γαλιλαίας	Galilee
Δεκαπόλεως	Decapolis
Ἱεροσολύμων	Jerusalem
Ἰουδαίας	Judea
Ἰορδάνου	Jordan
Ἰορδάνου	of
Φαρισαίων	Pharisees
Ἱεροσόλυμα	Jerusalem
Σολομὼν	Solomon
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Μωϋσῆς	Moses
Καφαρναοὺμ	Capernaum
Ἰησοῦς	Jesus
Ἰσραὴλ	Israel
Ἀβραὰμ	Abraham
Ἰσαὰκ	Isaac
Ἰακὼβ	Jacob
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Πέτρου	Peter’s
Ἠσαΐου	Isaiah
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Μαθθαῖον	Matthew
Ἰησοῦ	Jesus
Φαρισαῖοι	Pharisees
Ἰωάννου	John
Ἰωάννου	of
Φαρισαῖοι	Pharisees
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦ	Jesus
Δαυίδ	David
Δαυίδ	of
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰσραήλ	Israel
Φαρισαῖοι	Pharisees
Ἰησοῦς	Jesus
Σίμων	Simon
Πέτρος	Peter
Ἀνδρέας	Andrew
Ἰάκωβος	James
Ζεβεδαίου	Zebedee
Ζεβεδαίου	of
Ἰωάννης	John
Φίλιππος	Philip
Βαρθολομαῖος	Bartholomew
Θωμᾶς	Thomas
Μαθθαῖος	Matthew
Ἰάκωβος	James
Ἁλφαίου	Alphaeus
Ἁλφαίου	of
Θαδδαῖος	Thaddaeus
Σίμων	Simon
Καναναῖος	Zealot
Ἰούδας	Judas
Ἰσκαριώτης	Iscariot
Ἰησοῦς	Jesus
Σαμαριτῶν	Samaritans
Σαμαριτῶν	of
Ἰσραήλ	Israel
Ἰσραήλ	of
Σοδόμων	Sodom
Σοδόμων	of
Γομόρρων	Gomorrah
Ἰσραὴλ	Israel
Ἰσραὴλ	of
Βεελζεβοὺλ	Beelzebul
Ἰησοῦς	Jesus
Ἰωάννης	John
Χριστοῦ	Christ
Χριστοῦ	of
Ἰησοῦς	Jesus
Ἰωάννῃ	John
Ἰησοῦς	Jesus
Ἰωάννου	John
Ἰωάννου	John
Ἰωάννου	than
Ἰωάννου	John
Ἰωάννου	of
Ἰωάννου	John
Ἠλίας	Elijah
Ἰωάννης	John
Χοραζίν	Chorazin
Βηθσαϊδά	Bethsaida
Τύρῳ	Tyre
Σιδῶνι	Sidon
Τύρῳ	Tyre
Τύρῳ	for
Σιδῶνι	Sidon
Σιδῶνι	for
Καφαρναούμ	Capernaum
Σοδόμοις	Sodom
Σοδόμων	Sodom
Σοδόμων	of
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Φαρισαῖοι	Pharisees
Δαυὶδ	David
Φαρισαῖοι	Pharisees
Ἰησοῦς	Jesus
Ἠσαΐου	Isaiah
Δαυίδ	David
Δαυίδ	of
Φαρισαῖοι	Pharisees
Βεελζεβοὺλ	Beelzebul
σατανᾶς	Satan
σατανᾶν	Satan
Βεελζεβοὺλ	Beelzebul
Φαρισαίων	Pharisees
Ἰωνᾶ	Jonah
Ἰωνᾶ	of
Ἰωνᾶς	Jonah
Νινευῖται	Nineveh
Νινευῖται	of
Ἰωνᾶ	Jonah
Ἰωνᾶ	of
Ἰωνᾶ	Jonah
Ἰωνᾶ	than
Σολομῶνος	Solomon
Σολομῶνος	of
