NA27	NET
Ἰησοῦς	Jesus
Ἰσραήλ	Israel
Φαρισαῖοι	Pharisees
Ἰησοῦς	Jesus
Σίμων	Simon
Πέτρος	Peter
Ἀνδρέας	Andrew
Ἰάκωβος	James
Ζεβεδαίου	Zebedee
Ζεβεδαίου	of
Ἰωάννης	John
Φίλιππος	Philip
Βαρθολομαῖος	Bartholomew
Θωμᾶς	Thomas
Μαθθαῖος	Matthew
Ἰάκωβος	James
Ἁλφαίου	Alphaeus
Ἁλφαίου	of
Θαδδαῖος	Thaddaeus
Σίμων	Simon
Καναναῖος	Zealot
Ἰούδας	Judas
Ἰσκαριώτης	Iscariot
Ἰησοῦς	Jesus
Σαμαριτῶν	Samaritan
Ἰσραήλ	Israel
Ἰσραήλ	of
Σοδόμων	Sodom
Σοδόμων	of
Γομόρρων	Gomorrah
Ἰσραὴλ	Israel
Ἰσραὴλ	of
Βεελζεβοὺλ	Beelzebul
Ἰησοῦς	Jesus
Ἰωάννης	John
Ἰησοῦς	Jesus
Ἰωάννῃ	John
Ἰησοῦς	Jesus
Ἰωάννου	John
Ἰωάννου	John
Ἰωάννου	than
Ἰωάννου	John
Ἰωάννου	of
Ἰωάννου	John
Ἠλίας	Elijah
Ἰωάννης	John
Χοραζίν	Chorazin
Βηθσαϊδά	Bethsaida
Τύρῳ	Tyre
Σιδῶνι	Sidon
Τύρῳ	Tyre
Τύρῳ	for
Σιδῶνι	Sidon
Καφαρναούμ	Capernaum
Σοδόμοις	Sodom
Σοδόμων	Sodom
Σοδόμων	of
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Φαρισαῖοι	Pharisees
Δαυὶδ	David
Φαρισαῖοι	Pharisees
Ἰησοῦς	Jesus
Ἠσαΐου	Isaiah
Δαυίδ	David
Δαυίδ	of
Φαρισαῖοι	Pharisees
Βεελζεβοὺλ	Beelzebul
σατανᾶς	Satan
σατανᾶν	Satan
Βεελζεβοὺλ	Beelzebul
Φαρισαίων	Pharisees
Ἰωνᾶ	Jonah
Ἰωνᾶ	of
Ἰωνᾶς	Jonah
Νινευῖται	Nineveh
Νινευῖται	of
Ἰωνᾶ	Jonah
Ἰωνᾶ	than
Σολομῶνος	Solomon
Σολομῶνος	of
Σολομῶνος	Solomon
Σολομῶνος	than
Ἰησοῦς	Jesus
Ἠσαΐου	Isaiah
Ἠσαΐου	of
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Μαριὰμ	Mary
Ἰάκωβος	James
Ἰωσὴφ	Joseph
Σίμων	Simon
Ἰούδας	Judas
Ἰησοῦς	Jesus
Ἡρῴδης	Herod
Ἰησοῦ	Jesus
Ἰησοῦ	about
Ἰωάννης	John
Ἡρῴδης	Herod
Ἰωάννην	John
Ἡρῳδιάδα	Herodias
Φιλίππου	Philip’s
Ἰωάννης	John
Ἡρῴδου	Herod’s
Ἡρῳδιάδος	Herodias
Ἡρῳδιάδος	of
Ἡρῴδῃ	Herod
Ἰωάννου	John
Ἰωάννου	of
Ἰωάννην	John
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Πέτρος	Peter
Πέτρος	Peter
Ἰησοῦν	Jesus
Ἰησοῦς	Jesus
Γεννησαρέτ	Gennesaret
Ἰησοῦ	Jesus
Ἰησοῦ	to
Ἱεροσολύμων	Jerusalem
Φαρισαῖοι	Pharisees
Ἠσαΐας	Isaiah
Φαρισαῖοι	Pharisees
Πέτρος	Peter
Ἰησοῦς	Jesus
Τύρου	Tyre
Τύρου	of
Σιδῶνος	Sidon
Δαυίδ	David
Δαυίδ	of
Ἰσραήλ	Israel
Ἰσραήλ	of
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Γαλιλαίας	Galilee
Γαλιλαίας	of
Ἰσραήλ	Israel
Ἰσραήλ	of
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Μαγαδάν	Magadan
Μαγαδάν	of
Φαρισαῖοι	Pharisees
Σαδδουκαῖοι	Sadducees
Ἰωνᾶ	Jonah
Ἰωνᾶ	of
Ἰησοῦς	Jesus
Φαρισαίων	Pharisees
Φαρισαίων	of
Σαδδουκαίων	Sadducees
Ἰησοῦς	Jesus
Φαρισαίων	Pharisees
Φαρισαίων	of
Σαδδουκαίων	Sadducees
Σαδδουκαίων	Sadducees
Ἰησοῦς	Jesus
Καισαρείας	Caesarea
Καισαρείας	of
Φιλίππου	Philippi
Ἰωάννην	John
Ἠλίαν	Elijah
Ἰερεμίαν	Jeremiah
Σίμων	Simon
